,lon,lat,mcc,range,net,cell,averageSignal
12039,11.375,48.1172,262,3280,1,15573,-114
12116,11.5797,48.1361,262,3077,1,9107,-74
12239,11.4065,48.1573,262,2760,1,39780,-64
12305,11.4744,48.2183,262,6065,1,15510,-89
12309,11.5974,48.1627,262,1131,1,26949,-62
12376,11.4795,48.2099,262,1334,1,25842,-52
12377,11.5276,48.223,262,2347,1,56695,-66
12382,11.5342,48.2392,262,4143,1,7842,-109
12394,11.6901,48.0627,262,3330,1,51094,-81
12397,11.6787,48.0671,262,3267,1,51105,-80
12399,11.6861,48.0682,262,1381,1,30692,-54
12402,11.6977,48.0758,262,2934,1,30688,-85
12409,11.6174,48.0719,262,1490,1,57393,-79
12410,11.6161,48.0783,262,3209,1,5796,-87
12501,11.5194,48.1216,262,3071,1,65396,-102
12520,11.4789,48.2325,262,4426,1,27516,-104
12522,11.4802,48.2277,262,691,1,49930,-90
12523,11.4596,48.2447,262,6750,1,25461,-80
12524,11.485,48.2217,262,2425,1,49923,-87
12525,11.4648,48.2259,262,3570,1,17992,-86
12526,11.5013,48.2193,262,6061,1,49918,-59
12620,11.5372,48.225,262,2753,1,34443,-98
12621,11.6175,48.219,262,2912,1,53410,-77
12622,11.6243,48.2189,262,3040,1,53408,-81
12685,11.5816,48.228,262,1564,1,27640,-77
12734,11.3944,48.1206,262,3504,1,30568,-96
12737,11.4203,48.1305,262,4116,1,48051,-120
12738,11.4321,48.1291,262,2942,1,48050,-105
12763,11.6539,48.1963,262,1679,1,688,-95
12936,11.5723,48.1531,262,3272,1,4542,-88
13014,11.6143,48.1872,262,2774,1,56484,-81
13067,11.5616,48.1127,262,1551,1,30811,-68
13106,11.6054,48.2272,262,1994,1,1350,-86
13116,11.7104,48.0621,262,2219,1,30538,-115
13173,11.5491,48.1047,262,1672,1,17978,-77
13270,11.5858,48.228,262,1938,1,27639,-88
13297,11.6781,48.0752,262,4095,1,53208,-53
13305,11.5863,48.179,262,1778,1,39200,-90
13352,11.5958,48.1631,262,1112,1,26950,-108
13411,11.4588,48.2068,262,1598,1,15563,-120
13415,11.6839,48.0777,262,5762,1,53206,-115
13490,11.5353,48.1413,262,1100,1,7660,-88
13562,11.4082,48.1619,262,8234,1,39588,-84
13637,11.5895,48.1776,262,1815,1,39192,-88
13651,11.5822,48.1772,262,1420,1,53258,-78
13755,11.6997,48.1906,262,2893,1,29420,-90
13863,11.6055,48.1812,262,4376,1,56485,-82
13864,11.5966,48.1753,262,2302,1,32869,-66
14007,11.6164,48.1438,262,2500,1,27184,-98
14181,11.5403,48.1812,262,715,1,65025,-102
14379,11.5333,48.1355,262,691,1,34898,-95
14387,11.5501,48.1119,262,2757,1,34899,-110
14442,11.4646,48.0956,262,1958,1,20970,-120
14443,11.465,48.0923,262,1529,1,20968,-86
14444,11.4693,48.0925,262,2029,1,20966,-70
14627,11.539,48.0866,262,2083,1,55623,-107
15056,11.5415,48.162,262,1283,1,35348,-57
15079,11.5399,48.1011,262,2968,1,24593,-94
15114,11.5014,48.1048,262,2633,1,33902,-79
15115,11.4954,48.0916,262,1437,1,33901,-81
15117,11.5108,48.1042,262,2101,1,33898,-103
15118,11.5303,48.0984,262,589,1,24594,-116
16385,11.6081,48.1876,262,1013,1,8480,-103
16440,11.6136,48.1525,262,1066,1,44406,-85
16458,11.6138,48.1519,262,2689,1,44407,-83
16675,11.5298,48.1739,262,1470,1,8350,-72
16684,11.6133,48.153,262,990,1,44410,-81
16711,11.5497,48.1919,262,6842,1,8466,-85
16730,11.5604,48.1821,262,6847,1,8392,-88
16754,11.5547,48.1762,262,4078,1,8452,-85
16948,11.5733,48.1463,262,3084,1,26517250,-113
16949,11.5712,48.1511,262,3497,1,26526976,-55
16950,11.5768,48.1457,262,2826,1,26517248,-96
16951,11.5792,48.1488,262,1000,1,25988098,-82
16952,11.5694,48.1472,262,1478,1,26511106,-52
16953,11.5648,48.1485,262,1000,1,26517249,-52
16954,11.5646,48.1458,262,1000,1,25988864,-70
16955,11.5669,48.1398,262,1000,1,25986306,-75
16956,11.5729,48.1379,262,1000,1,25985282,-51
16957,11.5731,48.1358,262,1000,1,25985281,-107
16972,11.5509,48.2015,262,4995,1,8581,-115
17044,11.5856,48.159,262,2412,1,26504193,-103
17045,11.5801,48.1446,262,2554,1,25988097,-84
17046,11.5829,48.1525,262,1000,1,26511616,-72
17156,11.5758,48.1371,262,1000,1,25985280,-82
17157,11.5665,48.1389,262,1000,1,25986305,-52
17158,11.5565,48.1761,262,1445,1,25987585,-89
17159,11.5861,48.1704,262,1000,1,28072962,-82
17216,11.5358,48.1824,262,1233,1,26509824,-82
17777,11.5585,48.132,262,1000,1,26514946,-87
17778,11.5576,48.143,262,1000,1,26516736,-96
17780,11.5696,48.1445,262,1000,1,26469888,-101
17781,11.589,48.1625,262,1311,1,26504192,-84
17782,11.5971,48.1735,262,500,1,26510080,-82
17812,11.5585,48.1498,262,500,1,26516482,-118
17813,11.5578,48.1459,262,1024,1,26516481,-68
17814,11.5547,48.1408,262,8296,1,26516737,-51
17895,11.7015,48.201,262,4394,1,34775,-90
17999,11.5919,48.1297,262,3040,1,56717,-96
18731,11.5052,48.1083,262,1547,1,46741,-113
